TAG,ATTRIBUTE,CONCUR,COUNTER,DENY,ENDORSE,ENTERTAIN,JUSTIFY,MONOGLOSS,PRONOUNCE
advmod-punct-prep-punct-nsubj-acomp-punct,0,0,0,0,0,0,0,1,0
prep-dobj,0,0,0,0,0,0,0,1,0
nsubj-punct-parataxis-advcl-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-advmod-prep-punct,0,0,0,0,0,0,0,1,0
advmod-punct-nsubj-attr-punct,0,0,0,0,0,0,0,1,0
cc-ccomp-punct-punct-nsubj-dobj-punct,0,0,0,0,0,0,0,1,0
nsubj-dobj-advcl,0,0,0,0,0,0,0,1,0
mark-nsubj-advmod-acomp-xcomp-punct,0,0,0,0,0,0,0,1,0
mark-acomp-punct-prep-punct-prep-advcl,0,0,0,0,0,0,0,1,0
ccomp-nsubj-attr-ccomp-punct,0,0,0,0,0,0,0,1,0
nsubj-dobj-prep-punct-conj-punct,0,0,0,0,0,0,0,1,0
dobj-cc-conj,0,0,0,0,0,0,0,1,0
dobj-xcomp-punct-npadvmod-dobj-punct,0,0,0,0,0,0,0,1,0
nsubj-punct-ccomp-punct-punct,0,0,0,0,0,0,0,1,0
advcl-punct-nsubj-cc-conj-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-punct-conj,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-cc-conj-punct-cc-conj-punct,0,0,0,0,0,0,0,1,0
auxpass-advmod-xcomp,0,0,0,0,0,0,0,1,0
nsubj-aux-xcomp,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-attr-punct-advcl-punct,0,0,0,0,0,0,0,1,0
prep-punct-advmod-punct-nsubj-punct-npadvmod-punct,0,0,0,0,0,0,0,1,0
nsubj-ccomp-punct-cc-conj,0,0,0,0,0,1,0,1,0
nsubjpass-auxpass-prep-punct-punct,0,0,0,0,0,0,0,1,0
prep-nsubj-dobj-prep,0,0,0,0,0,0,0,1,0
prep-advcl-punct,0,0,0,0,0,0,0,1,0
nsubj-attr-cc-conj-punct,0,0,0,0,0,0,0,1,0
xcomp-punct,0,0,0,0,0,0,0,1,0
nsubj-advmod-punct-cc-conj-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-advmod-prep-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-advmod-dobj-parataxis-conj-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubjpass-auxpass-punct-advcl-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-dobj-advcl-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-advmod-punct-advcl-punct,0,0,0,0,0,0,0,1,0
ccomp-punct-nsubj-advmod-dobj-prep-punct-cc-conj-punct,0,0,0,0,0,0,0,1,0
prep-advmod,0,0,1,0,0,0,0,0,0
pcomp,0,0,3,0,0,2,3,0,0
dep-punct,0,0,0,0,0,0,2,0,0
pcomp-pobj,0,0,0,0,0,0,12,0,0
prep-prep,0,0,0,0,0,0,1,0,0
amod,0,0,0,0,0,0,1,0,0
nsubj-dobj-ccomp-punct-cc-conj,1,0,0,0,0,0,0,0,0
nsubj-ccomp-punct-advcl-punct,1,0,0,0,0,0,0,0,0
advmod-punct-nsubj-ccomp-punct,2,0,0,0,2,3,0,0,0
nsubjpass-auxpass-agent-prep,1,0,0,0,0,0,0,0,0
prep-punct-nsubj-dobj-ccomp,1,0,0,0,0,0,0,0,0
prep-punct-nsubjpass-auxpass-advmod-xcomp-punct,1,0,0,0,0,0,0,0,0
advcl-punct-nsubj-prep-punct,1,0,0,0,0,0,0,0,0
